Soil Type,GLCM Contrast,Wavelet Energy,Entropy,Histogram RGB Mean,Crop
Alluvial Soil,588.4818792,26105810167,7.559532082,5964.84375,Rice
Alluvial Soil,487.4451171,21953497191,7.547282103,6591.796875,Rice
Alluvial Soil,2857.365986,10924869997,7.634024301,2605.46875,Rice
Alluvial Soil,1174.854459,20547681215,7.259204381,4854.6875,Rice
Alluvial Soil,580.0196369,1311262526,6.569394577,350.390625,Pulses
Alluvial Soil,964.5849579,2155491041,6.778837167,620.75,Pulses
Alluvial Soil,677.8970709,12980378704,7.434187886,2732,Pulses
Alluvial Soil,3731.392842,9182361850,7.853763573,1875,Rice
Alluvial Soil,1305.008134,3518017006,7.429329658,615.78125,Pulses
Alluvial Soil,567.9871875,2605216146,4.084364198,581.875,Pulses
Alluvial Soil,979.6248537,14585962624,7.520402857,3164.0625,Rice
Alluvial Soil,470.9510596,223279885,6.844555906,105.5,Grapes
Alluvial Soil,1554.326093,2768257384,7.593905397,585.15625,Rice
Alluvial Soil,860.4006841,970539178.8,7.308058266,220.3046875,Rice
Alluvial Soil,917.4755382,1269723062,7.392181442,235.078125,Rice
Alluvial Soil,917.4755382,1269723062,7.392181442,235.078125,Rice
Alluvial Soil,1326.916018,669173474.3,7.079398309,159.6875,Pulses
Alluvial Soil,1305.155167,684119372.3,7.130406953,159.6875,Pulses
Alluvial Soil,1126.783552,648979280.5,6.983653206,159.6875,Pulses
Alluvial Soil,474.1937404,3787016345,6.54306229,585.15625,Pulses
Alluvial Soil,474.1937404,3787016345,6.54306229,585.15625,Pulses
Alluvial Soil,950.9351218,2475396977,7.171660541,469.21875,Pulses
Alluvial Soil,1091.774499,2682045446,6.553594742,379.53125,Pulses
Alluvial Soil,1091.774499,2682045446,6.553594742,379.53125,Pulses
Alluvial Soil,859.9892061,813472735.5,7.38628091,159.6875,Pulses
Alluvial Soil,332.0385116,2972616864,6.457858637,428.75,Pulses
Alluvial Soil,510.0932666,1138765701,7.108952096,239.7421875,Pulses
Alluvial Soil,474.1425689,2422863003,6.496579255,426.5625,Pulses
Alluvial Soil,363.5945703,3167122850,6.071980055,426.5625,Grapes
Alluvial Soil,491.9442854,1503085662,7.529774246,345.5625,Pulses
Alluvial Soil,1100.037474,3408648917,6.856187098,426.5625,Pulses
